vehicle_make,vehicle_year,number_of_persons_injured,number_of_persons_killed,overall_rating
dodge,2022.0,5.0,0.0,4.3621759645732245
ford,2013.0,3.0,0.0,4.030801981145686
ford,2014.0,1.0,0.0,4.139717072626119
gmc,2003.0,0.0,0.0,3.5382825589925644
honda,2002.0,0.0,0.0,4.397222222222222
honda,2012.0,3.0,0.0,4.483086096567772
jeep,2002.0,1.0,0.0,3.5555555555555554
jeep,2015.0,5.0,0.0,3.642857142857143
jeep,2016.0,1.0,0.0,3.891404513888889
jeep,2022.0,0.0,0.0,4.014581790123456
tesla,2022.0,2.0,0.0,5.0
dodge,2013.0,2.0,0.0,4.380617706167079
dodge,2014.0,2.0,0.0,4.380617706167079
ford,2008.0,1.0,0.0,4.181100660381895
ford,2019.0,6.0,0.0,4.410383772416549
ford,2024.0,3.0,0.0,4.289283169833096
gmc,2002.0,1.0,0.0,3.4025203673858275
gmc,2009.0,1.0,0.0,4.091991883566003
honda,1998.0,0.0,0.0,3.75
volvo,2019.0,0.0,0.0,4.943015318015318
buick,2008.0,0.0,0.0,4.488888888888889
chevrolet,2012.0,0.0,0.0,4.014989235723956
ford,2010.0,5.0,0.0,4.206955652525931
ford,2017.0,3.0,0.0,4.542630542252125
gmc,2017.0,1.0,0.0,4.071332277414103
gmc,2022.0,1.0,0.0,4.137480858638362
honda,1997.0,1.0,0.0,3.7083333333333335
honda,2013.0,1.0,0.0,4.4595055264688765
jeep,2024.0,0.0,0.0,3.8349962962962962
mazda,2018.0,3.0,5.0,4.8081312885447645
buick,2000.0,1.0,0.0,3.6666666666666665
dodge,2024.0,2.0,0.0,4.18839731354952
honda,2000.0,1.0,0.0,4.083333333333333
honda,2008.0,3.0,0.0,4.699999999999999
honda,2014.0,4.0,0.0,4.533679646596858
mazda,2010.0,0.0,0.0,4.562783367595347
mazda,2024.0,2.0,0.0,4.9018812885447645
ram,2021.0,1.0,0.0,3.961927911474001
tesla,2023.0,4.0,0.0,5.0
dodge,2020.0,0.0,0.0,4.242196288594055
ford,2023.0,0.0,0.0,4.289594060724432
honda,2016.0,2.0,0.0,4.875
honda,2018.0,0.0,0.0,4.92420531039641
honda,2019.0,14.0,0.0,4.937580843855867
honda,2024.0,1.0,0.0,4.97473510346547
jeep,2018.0,1.0,0.0,3.551247222222222
jeep,2023.0,2.0,0.0,3.9940949074074075
ram,2019.0,2.0,0.0,4.020443243906931
buick,2021.0,1.0,0.0,5.0
dodge,2018.0,1.0,0.0,4.222470824668313
ford,2003.0,2.0,0.0,3.8436006603818953
ford,2015.0,4.0,0.0,4.44754992992847
honda,2015.0,6.0,0.0,4.557407034501275
honda,2017.0,5.0,0.0,4.945583299771782
honda,2022.0,3.0,0.0,5.0
mazda,2021.0,1.0,0.0,4.9331312885447645
volvo,2014.0,0.0,0.0,4.774926739926739
dodge,2015.0,0.0,0.0,4.470705949905232
dodge,2019.0,1.0,0.0,4.222470824668313
dodge,2021.0,2.0,0.0,4.393899396096884
ford,2018.0,4.0,0.0,4.440683251583215
ford,2020.0,1.0,0.0,4.220408945020181
freightliner,2014.0,0.0,0.0,1.0
gmc,2008.0,0.0,0.0,4.17037858591109
honda,2003.0,1.0,0.0,4.5055555555555555
honda,2009.0,6.0,0.0,4.63441317626527
honda,2010.0,2.0,0.0,4.627116055846422
honda,2020.0,4.0,0.0,4.958387229237244
jeep,2021.0,3.0,0.0,3.8839817708333335
mazda,2016.0,3.0,0.0,4.744175051393019
mazda,2023.0,0.0,0.0,4.8862562885447645
volvo,2013.0,0.0,0.0,4.8034144427001575
buick,2019.0,0.0,0.0,4.74450259854106
dodge,2010.0,1.0,0.0,4.348512035111477
ford,2002.0,0.0,0.0,3.884157019839698
ford,2012.0,0.0,0.0,3.723643565402136
ford,2016.0,4.0,0.0,4.524438653357739
ford,2021.0,1.0,0.0,4.208383986883955
ford,2022.0,1.0,0.0,4.261413318545636
honda,2021.0,4.0,0.0,4.952838859802211
honda,2023.0,2.0,0.0,4.96875
jeep,2010.0,0.0,0.0,4.321428571428571
jeep,2014.0,0.0,0.0,3.857142857142857
jeep,2017.0,2.0,0.0,3.8479151234567897
jeep,2019.0,0.0,0.0,3.980913888888889
mazda,2019.0,0.0,0.0,4.898014705705295
mazda,2020.0,0.0,0.0,4.9331312885447645
toyota,2010.0,0.0,0.0,4.3777983136864345
volvo,2010.0,0.0,0.0,4.837759462759463
volvo,2023.0,0.0,0.0,4.934017736649316
volvo,2024.0,0.0,0.0,4.933137973137973
