make,model,model_year,overall_rating
AUDI,A5 COUPE,2011,4.771576868340388
BENTLEY,CONTINENTAL GT,2011,
BENTLEY,SUPERSPORTS CONVERTIBLE,2011,
MINI,COOPER S HARDTOP,2011,5.0
MINI,JCW HARDTOP,2011,5.0
ROLLS-ROYCE,PHANTOM,2011,
DODGE,DAKOTA,2011,4.0
JEEP,WRANGLER,2011,3.0
FREIGHTLINER,SPRINTER 2500 CARGO VAN,2011,1.0
FREIGHTLINER,SPRINTER 2500 PASSENGER VAN,2011,1.0
MERCEDES-BENZ,SLK-CLASS,2011,4.172576967724027
MERCEDES-BENZ,SPRINTER 2500 P12,2011,1.0
FORD,CROWN VICTORIA,2011,5.0
FORD,E-150 WAGON,2011,4.2222110435536955
FORD,EXPEDITION,2011,3.0
FORD,F-150 REGULAR CAB,2011,4.0
FORD,F-350 REGULAR CAB,2011,4.2222110435536955
FORD,FLEX,2011,4.0
FORD,FOCUS,2011,4.0
FORD,RANGER,2011,2.0
CADILLAC,CTS,2011,4.686274509803922
CHEVROLET,EXPRESS PASSENGER 1500,2011,3.0
GMC,SAVANA CARGO 1500,2011,5.0
GMC,SIERRA 2500,2011,3.0
SAAB,9-4X,2011,4.0
HONDA,RIDGELINE,2011,4.0
HYUNDAI,EQUUS,2011,4.5253223842757695
KIA,SORENTO,2011,4.0
LAND ROVER,LR4,2011,3.416666666666667
LAND ROVER,RANGE ROVER,2011,3.416666666666667
MAZDA,MAZDA 2,2011,4.397894330301891
MAZDA,RX-8,2011,5.0
MITSUBISHI,GALANT,2011,4.0
NISSAN,370Z ROADSTER,2011,4.012443055738233
PORSCHE,911 CARRERA 4S CABRIOLET,2011,
PORSCHE,911 TARGA 4S,2011,
PORSCHE,PANAMERA S,2011,
SAAB,9-5,2011,4.6499999999999995
LEXUS,ES350,2011,4.0
LEXUS,IS F,2011,4.629343409718837
LEXUS,IS250C,2011,4.629343409718837
LEXUS,LS460L,2011,4.629343409718837
TOYOTA,4RUNNER,2011,3.0
TOYOTA,AVALON,2011,4.0
TOYOTA,COROLLA,2011,3.0
TOYOTA,MATRIX,2011,4.0
VOLKSWAGEN,GOLF,2011,4.0
VOLKSWAGEN,GTI,2011,4.2
VOLVO,S40,2011,4.0
VOLVO,S80,2011,5.0
AUDI,S4,2011,4.0
CHEVROLET,SILVERADO 2500,2011,4.0
LINCOLN,NAVIGATOR,2011,4.0
KIA,BORREGO,2011,3.0
DODGE,JOURNEY,2011,4.0
DODGE,AVENGER,2011,4.0
JEEP,COMPASS,2011,4.0
TOYOTA,CAMRY,2011,4.0
MERCEDES-BENZ,ML-CLASS HYBRID,2011,4.0
CHRYSLER,CROSSFIRE,2004,4.666666666666667
PONTIAC,GRAND PRIX,2004,3.4
ACURA,TSX,2004,4.6
AUDI,A4 AVANT,2004,4.0
BUICK,LESABRE,2004,4.4
CHEVROLET,AVEO,2004,4.0
CHEVROLET,CAVALIER,2004,3.0
CHEVROLET,IMPALA,2004,4.4
CHEVROLET,SSR,2004,4.10773756548148
CHEVROLET,TRAILBLAZER EXT,2004,3.75
DODGE,DAKOTA,2004,4.333333333333333
DODGE,INTREPID,2004,4.0
CHRYSLER,SEBRING,2004,4.0
FORD,EXPEDITION,2004,5.0
FORD,F-150,2004,4.5
FORD,RANGER,2004,4.333333333333333
GMC,ENVOY XUV,2004,3.0
GMC,SAFARI,2004,4.25
HONDA,S2000,2004,4.5
INFINITI,FX35/45,2004,5.0
ISUZU,ASCENDER EXT,2004,3.347993827160494
LAND ROVER,RANGE ROVER,2004,3.416666666666667
LEXUS,RX330,2004,4.75
MAZDA,TRIBUTE,2004,4.75
MERCEDES-BENZ,E-CLASS,2004,4.6
MERCEDES-BENZ,G-CLASS,2004,4.172576967724027
NISSAN,ALTIMA,2004,3.8
NISSAN,XTERRA,2004,4.25
PORSCHE,BOXSTER,2004,
SAAB,9-5,2004,4.6
TOYOTA,CELICA,2004,4.0
TOYOTA,TUNDRA,2004,4.024074074074075
VOLKSWAGEN,JETTA,2004,4.4
MAZDA,RX-8,2004,4.4
ACURA,NSX-T,2005,4.6793399339934
AUDI,A8,2005,5.0
AUDI,ALLROAD,2005,4.96
BUICK,TERRAZA,2005,4.5
CHRYSLER,PACIFICA,2005,4.666666666666667
DODGE,MAGNUM,2005,4.6
DODGE,RAM 1500,2005,4.5
